Period, CPUAvg, person,concept,obs,encounter,
From 170228 To 170258,49.3,323,4,9,10,
From 170298 To 170328,44.6,310,5,9,6,
From 170328 To 170358,43.47,177,4,7,5,
From 170399 To 170429,55.23,437,11,14,11,
From 170429 To 170459,53.7,325,10,8,12,
From 170499 To 170529,48.17,275,9,9,3,
From 170529 To 170559,35.37,254,11,14,4,
From 170599 To 170629,37.2,215,6,10,6,
From 170670 To 170700,44.87,312,12,4,6,
From 170700 To 170730,35.17,186,5,5,6,
From 170770 To 170800,18.27,104,1,3,3,
From 170800 To 170830,33.87,228,5,1,8,
From 170870 To 170900,35.4,251,1,12,11,
From 170900 To 170930,32.57,225,7,3,7,
From 170971 To 171001,32.9,241,7,8,3,
From 171001 To 171031,38.93,229,5,11,11,
From 171071 To 171101,32.1,223,4,6,4,
From 171101 To 171131,35.87,227,11,7,7,
From 171171 To 171201,45.4,286,9,8,10,
From 171202 To 171232,22.73,105,2,3,5,
From 171272 To 171302,40.83,316,11,6,8,
From 171302 To 171332,32.3,220,4,3,7,
From 171372 To 171402,34.63,217,10,5,5,
From 171402 To 171432,47.9,314,10,13,6,
From 171473 To 171503,35.03,261,6,8,5,
From 171503 To 171533,34.37,155,6,4,8,
From 171573 To 171603,58.13,414,10,10,9,
From 171603 To 171633,79.67,508,15,19,14,
From 171673 To 171703,38.77,202,10,6,5,
From 171704 To 171734,47.1,300,7,9,11,
From 171774 To 171804,96.63,621,15,15,24,
From 171804 To 171834,70.33,425,13,18,11,
From 171874 To 171904,89.57,655,16,20,16,
From 171904 To 171934,83.5,446,15,8,18,
From 171975 To 172005,95.53,593,15,20,14,
From 172005 To 172035,93.77,550,12,14,17,
From 172076 To 172106,88.53,527,18,21,18,
From 172106 To 172136,55.43,335,6,14,11,
From 172176 To 172206,79.97,456,11,12,7,
