Period, CPUAvg, person,obs,encounter,concept,
From 214675 To 214705,56.6,280,5,8,12,
From 214705 To 214735,50.83,279,10,5,14,
From 214775 To 214805,65.63,303,9,8,6,
From 214805 To 214835,51.87,272,12,8,4,
From 214875 To 214905,58.27,323,8,10,12,
From 214905 To 214935,57.5,308,12,8,6,
From 214975 To 215005,45.13,237,5,4,13,
From 215005 To 215035,71.5,342,7,7,6,
From 215075 To 215105,61.2,314,6,12,8,
From 215106 To 215136,57.53,298,5,9,11,
From 215176 To 215206,58.57,278,7,6,8,
From 215206 To 215236,62.03,332,12,9,7,
From 215276 To 215306,72.9,319,12,3,4,
From 215306 To 215336,56.3,270,11,7,6,
From 215376 To 215406,78.1,403,14,7,11,
From 215406 To 215436,42.43,235,9,12,2,
From 215476 To 215506,60.53,322,4,12,12,
From 215506 To 215536,68.37,329,8,8,12,
From 215577 To 215607,57.5,316,6,8,10,
From 215607 To 215637,46.77,235,6,11,7,
From 215677 To 215707,67.67,342,7,12,8,
From 215707 To 215737,55.27,284,7,8,7,
From 215777 To 215807,55.87,306,6,11,10,
From 215807 To 215837,57.8,327,10,16,6,
From 215877 To 215907,49.17,281,7,9,9,
From 215907 To 215937,57.83,314,10,7,15,
From 219977 To 220007,52.53,301,9,8,11,
From 220007 To 220037,54.73,276,6,16,5,
From 220078 To 220108,56.4,308,6,11,10,
From 220108 To 220138,58.53,289,13,9,5,
From 220178 To 220208,59.87,299,7,5,10,
From 220208 To 220238,63.27,294,6,7,11,
From 220278 To 220308,62.0,280,6,4,5,
From 220308 To 220338,55.27,300,9,13,8,
From 220378 To 220408,59.07,330,9,10,10,
From 220408 To 220438,50.47,302,12,12,7,
From 220478 To 220508,58.9,286,8,10,3,
From 220509 To 220539,57.8,314,10,10,11,
From 220579 To 220609,68.03,328,8,11,5,
From 220609 To 220639,55.63,267,11,5,6,
From 220679 To 220709,63.9,341,10,6,13,
From 220709 To 220739,57.37,287,11,8,8,
From 220779 To 220809,61.1,284,7,7,9,
From 220809 To 220839,75.9,374,6,9,9,
From 220879 To 220909,59.33,306,8,5,13,
From 220909 To 220939,54.6,281,3,10,9,
From 220979 To 221009,72.17,355,8,10,5,
From 221010 To 221040,49.03,312,13,10,9,
From 221080 To 221110,67.9,348,14,11,4,
From 221110 To 221140,57.73,287,6,10,7,
From 221180 To 221210,54.9,281,7,9,7,
From 221210 To 221240,62.27,324,5,14,5,
From 221280 To 221310,60.9,320,10,5,10,
From 221310 To 221340,52.27,317,11,13,8,
From 221380 To 221410,61.97,306,9,10,5,
From 221410 To 221440,55.37,309,11,9,10,
From 221481 To 221511,53.9,283,11,6,8,
From 221511 To 221541,56.97,313,6,9,12,
From 221581 To 221611,61.37,307,7,11,11,
From 221611 To 221641,64.57,319,6,7,9,
From 221681 To 221711,57.23,291,7,8,12,
From 221711 To 221741,53.37,283,12,7,7,
From 221781 To 221811,61.43,348,8,14,8,
From 221811 To 221841,53.6,291,9,6,12,
From 221881 To 221911,52.33,293,14,3,7,
From 221912 To 221942,70.0,367,8,12,9,
From 221982 To 222012,61.77,295,11,4,5,
From 222012 To 222042,56.9,286,8,8,8,
From 222082 To 222112,61.9,327,13,6,11,
From 222112 To 222142,58.4,310,11,5,9,
From 222182 To 222212,48.8,252,10,7,12,
From 222212 To 222242,73.73,337,9,5,12,
From 222282 To 222312,53.8,298,10,4,12,
From 222312 To 222342,50.13,259,6,12,10,
From 222382 To 222412,59.5,308,12,6,8,
From 222413 To 222443,58.7,298,9,7,8,
From 222483 To 222513,51.2,276,9,7,9,
