Period,CPUAvg,Concept:514,Encounter:318,Context:524,Encounter:311,BaseOpenmrsData:135,Concept:280,Concept:206,Concept:990,ConceptName:213,Concept:1019,Obs:706,BaseOpenmrsData:49,Concept:1096,BaseOpenmrsData:42,Obs:174,Encounter:369,ServiceContext:134,Encounter:362,Format:60,BaseOpenmrsData:100,Concept:191,Daemon:146,BaseOpenmrsData:107,Concept:217,Daemon:269,Obs:630,Obs:566,Concept:593,OpenmrsUtil:495,Concept:1082,ServiceContext:189,Obs:166,Encounter:55,Concept:347,ConceptServiceImpl:308,BaseOpenmrsObject:33,Obs:411,BaseOpenmrsData:92,Context:347,Concept:224,BaseOpenmrsData:114,BaseOpenmrsData:35,Obs:1107,Obs:559,Concept:1375,Encounter:41,ConceptName:378,Obs:551,UserContext:180,Obs:490,Obs:254,Encounter:341,Encounter:265,ConceptServiceImpl:848,Obs:543,Context:354,Concept:238,BaseOpenmrsData:84,Encounter:411,OpenmrsUtil:508,Encounter:104,LocaleUtility:99,Obs:758,Obs:222,Obs:574,Encounter:76,Concept:557,Obs:425,Obs:534,Context:95,Context:163,HibernateContextDAO:146,Obs:740,Concept:1220,Obs:660,Obs:85,Concept:958,Obs:1070,Obs:970,BaseOpenmrsData:149,Concept:177,Obs:1074,BaseOpenmrsObject:64,Obs:979,Concept:795,HibernateAdministrationDAO:63,BaseOpenmrsData:142,ConceptDatatype:54,Concept:252,Obs:527,Encounter:329,Obs:645,Obs:207,Concept:1121,ServiceContext:342,ConceptName:244,Obs:443,Obs:675,ServiceContext:500,Concept:944,BaseOpenmrsData:77,ConceptName:96,BaseOpenmrsMetadata:37,ConceptName:139,BaseOpenmrsData:70,Obs:237,Person:104,Encounter:275,Context:436,Concept:787,UserContext:131,Concept:266,Encounter:90,Context:269,Encounter:97,LocaleUtility:127,Context:262,Concept:1034,Context:147,Concept:972,ConceptName:237,ConceptName:80,Encounter:69,BaseOpenmrsData:63,ConceptName:84,LocaleUtility:40,Encounter:62,Obs:957,ServiceContext:86,Encounter:83,Obs:653,Concept:86,BaseOpenmrsData:121,Obs:181,Patient:55,BaseOpenmrsData:128,Concept:1027,Obs:581,ConceptServiceImpl:858,Encounter:420,ServiceContext:368,ConceptName:220,Obs:1091,Obs:462,Context:582,Concept:584,BaseOpenmrsData:56
From 1528429867 to 1528429896,120.8,8510,82,7474,82,235079,23578,23578,23578,5482,910,3137,134839,23578,229984,6878,82,108,82,0,4471594,23578,7192,229984,1620,5,3137,3137,4255,9285,23578,67875,3137,246,4255,1,2860453,3137,4428204,67875,23578,123840,126977,3137,813,23578,178,5482,3137,8425,716,3137,82,82,410,813,100,23578,226847,164,3567,82,4255,1620,3137,102,82,8510,3137,3137,105,73691,1,3137,911,3137,3137,23578,78425,3137,235079,23578,78425,681750,3137,34040,23928,149991,1620,23578,3468,164,3137,3137,23578,1147,4906,6274,3137,73691,23578,123840,51450,732,61312,226847,3137,4149,82,3618,34040,7090,23578,82,108,82,4255,1147,23578,12650,23578,14700,4906,82,123840,1724,12680,82,3137,73691,328,1194,25208,235079,3137,172,123840,910,3137,716,82,100,4906,3137,3137,7474,25530,229984
From 1528429897 to 1528429926,152.33,8906,78,6883,78,215967,31102,31102,31102,6098,1515,1993,125567,31102,208829,3983,78,100,78,0,4217164,31102,6702,208829,940,5,1993,1993,4453,8709,31102,80750,1993,234,4453,0,3746620,1993,4165053,80750,31102,116264,118257,1993,483,31102,139,6098,1993,7762,414,1993,78,78,238,483,92,31102,206836,156,3359,78,4453,940,1993,54,78,8906,1993,1993,97,85877,1,1993,1515,1993,1993,31102,49825,1993,215967,31102,49825,986178,1993,35624,28135,148874,940,31102,2032,156,1993,1993,31102,679,5046,3986,1993,85877,31102,116264,58212,747,68264,206836,1993,2926,78,3391,35624,6623,31102,78,100,78,4453,679,31102,11724,31102,16632,5046,78,116264,1998,12215,78,1993,85877,312,669,32046,215967,1993,189,116264,1515,1993,414,78,92,5046,1993,1993,6883,26718,208829
From 1528429927 to 1528429956,118.47,8220,47,6273,47,213922,32155,32155,32155,5597,1440,1905,117664,32155,206316,3489,47,72,47,0,4012828,32155,6259,206316,823,5,1905,1905,4110,8117,32155,91771,1905,141,4110,0,3882967,1905,3953262,91771,32155,108041,109946,1905,407,32155,107,5597,1905,7082,384,1905,47,47,240,407,89,32155,204411,94,3522,47,4110,823,1905,54,47,8220,1905,1905,94,96540,1,1905,1440,1905,1905,32155,47625,1905,213922,32155,47625,1042126,1905,32880,31702,144897,823,32155,1822,94,1905,1905,32155,650,4847,3810,1905,96540,32155,108041,53487,655,62720,204411,1905,2807,47,3171,32880,6183,32155,47,72,47,4110,650,32155,10810,32155,15282,4847,47,108041,1847,11192,47,1905,96540,188,591,32999,213922,1905,184,108041,1440,1905,384,47,89,4847,1905,1905,6273,24660,206316
From 1528429957 to 1528429987,138.37,8962,93,7338,93,219807,25565,25565,25565,5984,1272,3001,128217,25565,213022,5547,93,106,93,0,4173059,25565,7018,213022,1304,5,3001,3001,4481,9645,25565,83114,3001,279,4481,0,3568659,3001,4119489,83114,25565,117115,120116,3001,633,25565,185,5984,3001,8262,600,3001,93,93,328,633,100,25565,210021,186,3676,93,4481,1304,3001,80,93,8962,3001,3001,105,88697,1,3001,1272,3001,3001,25565,75025,3001,219807,25565,75025,926221,3001,35848,28981,150086,1304,25565,2794,186,3001,3001,25565,950,4965,6002,3001,88697,25565,117115,56399,770,66632,210021,3001,3953,93,3532,35848,6923,25565,93,106,93,4481,950,25565,12401,25565,16114,4965,93,117115,1905,12743,93,3001,88697,372,993,26909,219807,3001,193,117115,1272,3001,600,93,100,4965,3001,3001,7338,26886,213022
From 1528429988 to 1528430017,124.9,8822,70,6726,70,213303,29852,29852,29852,6053,1536,1782,124337,29852,205081,3793,70,86,70,0,4002471,29852,6592,205081,893,5,1782,1782,4411,8483,29852,101806,1782,210,4411,0,4181548,1782,3936298,101806,29852,115038,116820,1782,446,29852,125,6053,1782,7577,398,1782,70,70,226,446,95,29852,203299,140,3489,70,4411,893,1782,54,70,8822,1782,1782,100,106835,1,1782,1536,1782,1782,29852,44550,1782,213303,29852,44550,1134330,1782,35288,35104,155793,893,29852,1914,140,1782,1782,29852,648,5103,3564,1782,106835,29852,115038,57414,728,67328,203299,1782,2726,70,3334,35288,6522,29852,70,86,70,4411,648,29852,11511,29852,16404,5103,70,115038,1982,11988,70,1782,106835,280,663,30697,213303,1782,210,115038,1536,1782,398,70,95,5103,1782,1782,6726,26466,205081
From 1528430018 to 1528430047,139.73,6984,51,5656,51,216365,22826,22826,22826,4757,1132,1786,104912,22826,210007,3454,51,68,51,0,4157214,22826,5962,210007,815,5,1786,1786,3492,7080,22826,83581,1786,153,3492,0,3300698,1786,4103041,83581,22826,95232,97018,1786,413,22826,104,4757,1786,6444,366,1786,51,51,190,413,75,22826,208221,102,3512,51,3492,815,1786,50,51,6984,1786,1786,80,88216,1,1786,1132,1786,1786,22826,44650,1786,216365,22826,44650,860908,1786,27936,28973,128178,815,22826,1748,102,1786,1786,22826,575,3950,3572,1786,88216,22826,95232,45150,675,53040,208221,1786,2570,51,3011,27936,5924,22826,51,68,51,3492,575,22826,9952,22826,12900,3950,51,95232,1545,9936,51,1786,88216,204,582,23684,216365,1786,171,95232,1132,1786,366,51,75,3950,1786,1786,5656,20952,210007
From 1528430048 to 1528430077,126.5,8068,58,6513,58,220697,24271,24271,24271,5386,1165,2521,121020,24271,211976,4791,58,72,58,0,4164527,24271,6282,211976,1128,5,2521,2521,4034,8522,24271,99187,2521,174,4034,0,4354541,2521,4099976,99187,24271,111038,113559,2521,576,24271,135,5386,2521,7317,475,2521,58,58,261,576,89,24271,209455,116,3446,58,4034,1128,2521,70,58,8068,2521,2521,94,104179,1,2521,1165,2521,2521,24271,63025,2521,220697,24271,63025,1198675,2521,32272,34165,151497,1128,24271,2363,116,2521,2521,24271,756,4616,5042,2521,104179,24271,111038,50778,704,59960,209455,2521,3416,58,3188,32272,6229,24271,58,72,58,4034,756,24271,11084,24271,14508,4616,58,111038,1741,11351,58,2521,104179,232,837,25456,220697,2521,194,111038,1165,2521,475,58,89,4616,2521,2521,6513,24204,211976
From 1528430078 to 1528430107,140.17,7368,58,6268,58,217866,26710,26710,26710,4856,948,2371,116172,26710,210800,4979,58,76,58,1,4123660,26710,6459,210800,1176,5,2371,2371,3684,7833,26710,81618,2371,174,3684,0,3637946,2371,4070941,81618,26710,106255,108626,2371,612,26710,130,4856,2371,7117,507,2371,58,58,272,612,90,26710,208429,116,3433,58,3684,1176,2371,72,58,7368,2371,2371,95,86671,1,2371,948,2371,2371,26710,59275,2371,217866,26710,59275,969667,2371,29472,28383,139131,1176,26710,2510,116,2371,2371,26710,801,4376,4742,2371,86671,26710,106255,46011,680,54536,208429,2371,3254,58,3262,29472,6374,26710,58,76,58,3684,801,26710,10930,26710,13146,4376,58,106255,1560,10801,58,2371,86671,232,825,27889,217866,2371,173,106255,948,2371,507,58,90,4376,2371,2371,6268,22104,210800
From 1528430108 to 1528430137,122.17,8994,75,6929,75,214672,32270,32270,32270,6083,1513,2074,121070,32270,207486,4095,75,88,75,0,4160678,32270,6607,207486,967,5,2074,2074,4497,8778,32270,90801,2074,225,4498,0,3671300,2074,4101848,90801,32270,111659,113733,2074,504,32270,139,6083,2074,7792,418,2074,75,75,219,504,91,32270,205412,150,3382,75,4497,967,2074,58,75,8994,2074,2074,96,95877,1,2074,1513,2074,2074,32270,51850,2074,214672,32270,51850,962809,2074,35977,31464,147701,967,32270,2063,150,2074,2074,32270,664,5016,4148,2074,95877,32270,111659,57960,737,67984,205412,2074,2985,75,3338,35977,6542,32270,75,88,75,4497,664,32270,11707,32270,16560,5016,75,111659,2017,12289,75,2074,95877,300,675,33317,214672,2074,195,111659,1513,2074,417,75,91,5016,2074,2074,6929,26982,207486
From 1528430138 to 1528430168,140.43,7770,80,6311,80,224122,25198,25198,25198,5315,1267,1762,133627,25198,217439,3815,80,108,80,0,4303287,25198,6929,217439,899,5,1762,1762,3885,7740,25198,81337,1762,240,3884,0,3456469,1762,4250845,81337,25198,123965,125727,1762,452,25198,136,5315,1762,7213,388,1762,80,80,214,452,96,25198,215677,160,3615,80,3885,899,1762,64,80,7770,1762,1762,101,86515,1,1762,1267,1762,1762,25198,44050,1762,224122,25198,44050,891189,1762,31079,28357,156257,899,25198,1894,160,1762,1762,25198,623,4316,3524,1762,86515,25198,123965,50260,754,59056,215677,1762,2777,80,3510,31079,6845,25198,80,108,80,3885,623,25198,11323,25198,14360,4316,80,123965,1719,11098,80,1762,86515,320,663,26013,224122,1762,198,123965,1267,1762,389,80,96,4316,1762,1762,6311,23310,217439
From 1528430169 to 1528430198,129.83,7749,104,6365,104,219974,24105,24105,24105,5227,1193,2179,130423,24105,212317,4153,104,136,104,0,4180873,24105,6816,212317,979,5,2179,2179,3874,8051,24105,92300,2179,312,3875,1,3820377,2179,4121083,92300,24105,120429,122609,2179,508,24105,171,5227,2179,7248,400,2179,104,104,235,508,96,24105,210138,208,3583,104,3875,979,2179,68,104,7748,2179,2179,100,97563,1,2179,1194,2179,2179,24105,54475,2179,219974,24105,54475,1018144,2179,30993,31974,157417,979,24105,2051,208,2179,2179,24105,657,4258,4358,2179,97563,24105,120429,49336,813,58059,210138,2179,3116,104,3422,30993,6783,24105,104,136,104,3875,657,24105,11310,24105,14096,4258,104,120429,1701,11123,104,2179,97563,416,711,25112,219974,2179,237,120429,1193,2179,400,104,96,4258,2179,2179,6365,23245,212317
From 1528430199 to 1528430228,131.93,6837,59,5807,59,211038,24145,24145,24145,4553,975,2230,115785,24145,205355,4165,59,84,59,0,4045883,24145,6314,205355,981,5,2230,2230,3419,7356,24145,68450,2230,177,3418,0,3037670,2230,4001886,68450,24145,106506,108735,2230,487,24145,127,4553,2230,6642,445,2230,59,59,237,487,85,24145,203125,118,3206,59,3418,981,2230,60,59,6838,2230,2230,91,73295,1,2230,975,2230,2230,24145,55750,2230,211038,24145,55750,777527,2230,27351,23978,133627,981,24145,2102,118,2230,2230,24145,703,3899,4460,2230,73295,24145,106506,43134,670,51005,203125,2230,3107,59,3198,27351,6219,24145,59,84,59,3418,703,24145,10352,24145,12324,3899,59,106506,1463,10060,59,2230,73295,236,723,25140,211038,2230,156,106506,975,2230,445,59,85,3899,2230,2230,5807,20513,205355
From 1528430229 to 1528430258,112.07,7940,79,6748,79,207663,22116,22116,22116,5194,986,2625,124199,22116,202117,5668,79,116,79,0,4005017,22116,6584,202117,1332,5,2625,2625,3970,8440,22116,67102,2625,237,3970,0,2950233,2625,3961969,67102,22116,114397,117022,2625,666,22116,160,5194,2625,7614,573,2625,79,79,338,666,96,22116,199492,158,3276,79,3970,1332,2625,80,79,7940,2625,2625,101,72398,1,2625,986,2625,2625,22116,65625,2625,207663,22116,65625,737337,2625,31760,23548,140888,1332,22116,2815,158,2625,2625,22116,928,4406,5250,2625,72398,22116,114397,49042,713,58264,199492,2625,3558,79,3303,31760,6494,22116,79,116,79,3970,928,22116,11499,22116,14012,4406,79,114397,1652,11584,79,2625,72398,316,1020,23399,207663,2625,184,114397,986,2625,573,79,96,4406,2625,2625,6748,23820,202117
From 1528430259 to 1528430288,133.33,7102,89,5754,89,219716,29779,29779,29779,4804,1176,1506,116862,29779,214966,3412,89,112,89,0,4216390,29779,6173,214966,803,5,1506,1506,3551,6862,29779,56165,1506,259,3551,0,2643713,1506,4180543,56165,29779,107492,108998,1506,396,29779,137,4804,1506,6571,358,1506,89,89,230,396,84,29779,213460,178,3469,89,3551,803,1506,56,89,7102,1506,1506,89,60809,1,1506,1176,1506,1506,29779,37650,1506,219716,29779,37650,634833,1506,28408,19856,129614,803,29779,1738,178,1506,1506,29779,613,4170,3012,1506,60809,29779,107492,45857,679,53960,213460,1506,2368,89,3117,28408,6079,29779,89,112,89,3551,613,29779,10193,29779,13102,4170,89,107492,1572,10122,89,1506,60809,348,600,30551,219716,1506,160,107492,1176,1506,358,89,84,4170,1506,1506,5754,21306,214966
From 1528430289 to 1528430318,118.93,7254,54,6075,54,206194,27599,27599,27599,4811,1059,1982,109742,27599,198895,4236,54,64,54,0,3971756,27599,6379,198895,1000,5,1982,1982,3627,7363,27599,89861,1982,170,3627,0,3706768,1982,3913514,89861,27599,100447,102429,1982,509,27599,116,4811,1982,6922,444,1982,54,54,260,509,81,27599,196913,108,3333,54,3627,1000,1982,66,54,7254,1982,1982,86,94920,1,1982,1059,1982,1982,27599,49550,1982,206194,27599,49550,1000737,1982,29016,31146,136331,1000,27599,2166,108,1982,1982,27599,727,4108,3964,1982,94920,27599,100447,45633,729,53816,196913,1982,2797,54,3231,29016,6322,27599,54,64,54,3627,727,27599,10669,27599,13038,4108,54,100447,1568,10549,54,1982,94920,224,708,28544,206194,1982,173,100447,1059,1982,444,54,81,4108,1982,1982,6075,21762,198895
From 1528430319 to 1528430349,146.13,8294,52,7059,52,229254,29133,29133,29133,5377,1028,2966,129170,29133,222752,5884,52,80,52,0,4372885,29133,6952,222752,1388,5,2966,2966,4147,8997,29133,77971,2966,156,4147,0,3433820,2966,4322666,77971,29133,118284,121250,2966,703,29133,144,5377,2966,7972,620,2966,52,52,368,703,98,29133,219786,104,3611,52,4147,1388,2966,86,52,8294,2966,2966,103,83577,1,2966,1028,2966,2966,29133,74150,2966,229254,29133,74150,881433,2966,33176,27249,149275,1388,29133,3014,104,2966,2966,29133,1012,4764,5932,2966,83577,29133,118284,51079,724,60600,219786,2966,3919,52,3519,33176,6834,29133,52,80,52,4147,1012,29133,12070,29133,14594,4764,52,118284,1731,12119,52,2966,83577,208,996,30514,229254,2966,170,118284,1028,2966,620,52,98,4764,2966,2966,7059,24882,222752
From 1528430350 to 1528430379,91.2,4464,74,4380,74,175571,14733,14733,14733,2825,424,1873,95766,14733,170913,3957,74,88,74,0,3296807,14733,5367,170913,930,5,1873,1873,2232,5169,14733,57214,1873,222,2232,0,2418164,1873,3260097,57214,14733,87360,89233,1873,454,14733,133,2825,1873,5093,416,1873,74,74,250,454,70,14733,169040,148,2903,74,2232,930,1873,62,74,4464,1873,1873,75,61442,1,1873,424,1873,1873,14733,46825,1873,175571,14733,46825,623758,1873,17856,20074,109923,930,14733,1990,148,1873,1873,14733,678,2433,3746,1873,61442,14733,87360,26558,590,31800,169040,1873,2613,74,2690,17856,5323,14733,74,88,74,2232,678,14733,8239,14733,7588,2433,74,87360,878,7325,74,1873,61442,296,711,15633,175571,1873,148,87360,424,1873,416,74,70,2433,1873,1873,4380,13392,170913
From 1528430380 to 1528430409,80.4,4580,36,3915,36,140709,18184,18184,18184,2958,550,1622,74901,18184,136566,3355,36,56,36,0,2716009,18184,3803,136566,791,5,1622,1622,2290,4943,18184,47340,1622,108,2290,0,2176361,1622,2685374,47340,18184,68460,70082,1622,399,18184,84,2958,1622,4407,352,1622,36,36,184,399,54,18184,134944,72,2174,36,2290,791,1622,50,36,4580,1622,1622,59,50467,1,1622,550,1622,1622,18184,40550,1622,140709,18184,40550,567848,1622,18320,16444,87578,791,18184,1686,72,1622,1622,18184,551,2803,3244,1622,50467,18184,68460,28350,438,33656,134944,1622,2130,36,1932,18320,3748,18184,36,56,36,2290,551,18184,6667,18184,8100,2803,36,68460,949,6697,36,1622,50467,144,573,19019,140709,1622,108,68460,550,1622,352,36,54,2803,1622,1622,3915,13740,136566
From 1528430410 to 1528430439,51.77,1492,21,1453,21,74147,4911,4911,4911,950,162,794,39821,4911,71755,1195,21,32,21,0,1337491,4911,2015,71755,282,5,794,794,746,1942,4911,28867,794,63,746,0,1223076,794,1318766,28867,4911,36383,37177,794,140,4911,44,950,794,1710,136,794,21,21,68,140,29,4911,70961,42,1188,21,746,282,794,14,21,1492,794,794,34,30405,1,794,162,794,794,4911,19850,794,74147,4911,19850,333911,794,5968,9973,47965,282,4911,620,42,794,794,4911,208,882,1588,794,30405,4911,36383,8939,221,10640,70961,794,1112,21,1014,5968,1994,4911,21,32,21,746,208,4911,2913,4911,2554,882,21,36383,302,2456,21,794,30405,84,201,5242,74147,794,64,36383,162,794,136,21,29,882,794,794,1453,4476,71755
From 1528430440 to 1528430469,105.83,6498,28,5402,28,191787,26477,26477,26477,4281,883,1989,90088,26477,186516,4123,28,36,28,0,3520703,26477,5351,186516,974,5,1989,1989,3249,6756,26477,69146,1989,84,3251,0,2783065,1989,3476032,69146,26477,81374,83363,1989,510,26477,89,4281,1989,6116,420,1989,28,28,228,510,72,26477,184527,56,3007,28,3249,974,1989,58,28,6498,1989,1989,77,73342,1,1989,883,1989,1989,26477,49725,1989,191787,26477,49725,716724,1989,25994,24052,108532,974,26477,2088,56,1989,1989,26477,670,3688,3978,1989,73342,26477,81374,40635,538,48064,184527,1989,2689,28,2700,25994,5269,26477,28,36,28,3249,670,26477,9243,26477,11610,3688,28,81374,1392,9365,28,1989,73342,112,675,27503,191787,1989,123,81374,883,1989,420,28,72,3688,1989,1989,5402,19494,186516
From 1528430470 to 1528430499,113.97,5010,46,4487,46,176578,21608,21608,21608,3280,674,1414,88882,21608,171043,3286,46,60,46,0,3385881,21608,5306,171043,773,5,1414,1414,2505,5156,21608,64055,1414,138,2503,0,2827028,1414,3344566,64055,21608,81607,83021,1414,383,21608,90,3280,1414,5200,342,1414,46,46,208,383,71,21608,169629,92,2658,46,2505,773,1414,46,46,5010,1414,1414,75,68190,1,1414,674,1414,1414,21608,35350,1414,176578,21608,35350,754628,1414,20038,22355,107350,773,21608,1658,92,1414,1414,21608,568,2984,2828,1414,68190,21608,81607,31248,606,37040,169629,1414,2073,46,2679,20038,5219,21608,46,60,46,2505,568,21608,8289,21608,8928,2984,46,81607,1058,7705,46,1414,68190,184,588,22297,176578,1414,136,81607,674,1414,342,46,71,2984,1414,1414,4487,15030,171043
From 1528430500 to 1528430530,120.83,6650,82,5841,82,215667,20740,20740,20740,4335,858,2224,121806,20740,208179,4522,82,100,82,0,4116698,20740,6495,208179,1066,5,2224,2224,3325,7162,20740,88525,2224,246,3325,0,3734149,2224,4059327,88525,20740,112104,114328,2224,543,20740,150,4335,2224,6681,468,2224,82,82,256,543,85,20740,205955,164,3424,82,3325,1066,2224,62,82,6650,2224,2224,91,93681,1,2224,858,2224,2224,20740,55600,2224,215667,20740,55600,1006536,2224,26600,30671,147722,1066,20740,2278,164,2224,2224,20740,741,3779,4448,2224,93681,20740,112104,41139,753,48816,205955,2224,3146,82,3281,26600,6478,20740,82,100,82,3325,741,20740,10554,20740,11754,3779,82,112104,1401,10006,82,2224,93681,328,774,21803,215667,2224,203,112104,858,2224,468,82,85,3779,2224,2224,5841,19950,208179
From 1528430531 to 1528430560,138.27,7394,63,6066,63,211896,25225,25225,25225,5038,1140,1761,120406,25225,205579,3968,63,92,63,0,4062625,25225,6541,205578,937,5,1761,1761,3697,7423,25225,83990,1761,189,3697,0,3251282,1761,4008349,83990,25225,111214,112975,1761,480,25225,119,5038,1761,6923,408,1761,63,63,228,480,91,25225,203818,126,3408,63,3697,937,1761,66,63,7394,1761,1761,96,88969,1,1761,1140,1761,1761,25225,44025,1761,211896,25225,44025,838036,1761,29576,29186,144116,937,25225,2004,126,1761,1761,25225,657,4280,3522,1761,88969,25225,111214,47509,701,55912,203818,1761,2670,63,3299,29576,6465,25225,63,92,63,3697,657,25225,10790,25225,13574,4280,63,111214,1620,10620,63,1761,88969,252,660,26087,211896,1761,191,111214,1140,1761,408,63,91,4280,1761,1761,6066,22182,205579
From 1528430561 to 1528430590,129.47,9302,52,7084,52,218909,33429,33429,33429,6369,1615,1909,120106,33429,211174,3952,52,80,52,0,4179823,33429,6828,211175,930,5,1909,1909,4651,8896,33429,89478,1909,156,4651,8,3915258,1909,4121950,89478,33429,110404,112313,1909,475,33429,110,6369,1909,7984,391,1909,52,52,211,475,90,33429,209265,104,3553,52,4651,930,1909,54,52,9302,1909,1909,95,94678,1,1909,1623,1909,1909,33429,47725,1909,218909,33429,47725,1039584,1909,37208,31081,146497,930,33429,1943,104,1909,1909,33429,646,5437,3818,1909,94678,33429,110404,60571,751,71024,209265,1909,2821,52,3449,37208,6767,33429,52,80,52,4651,646,33429,12012,33429,17306,5437,52,110404,2098,12635,52,1909,94678,208,696,34409,218909,1909,187,110404,1615,1909,391,52,90,5437,1909,1909,7084,27906,211174
From 1528430591 to 1528430620,142.47,9332,75,7229,75,226486,33517,33517,33517,6355,1547,2178,135270,33517,220741,4487,75,116,75,0,4376356,33517,6867,220741,1051,5,2178,2178,4666,9196,33517,73304,2178,225,4666,0,3191788,2178,4329207,73304,33517,125691,127869,2178,521,33517,142,6355,2178,8126,429,2178,75,75,247,521,100,33517,218563,150,3407,75,4666,1051,2178,66,75,9332,2178,2178,105,78520,1,2178,1547,2178,2178,33517,54450,2178,226486,33517,54450,784375,2178,37328,25657,154386,1051,33517,2147,150,2178,2178,33517,704,5462,4356,2178,78520,33517,125691,60641,739,71352,218563,2178,3166,75,3474,37328,6751,33517,75,116,75,4666,704,33517,12188,33517,17326,5462,75,125691,2068,12792,75,2178,78520,300,849,34546,226486,2178,186,125691,1547,2178,429,75,100,5462,2178,2178,7229,27996,220741
From 1528430621 to 1528430650,114.57,6440,43,5542,43,195955,26446,26446,26446,4194,860,2040,103764,26446,188532,4229,43,60,43,0,3760973,26446,6064,188532,997,5,2040,2040,3220,6786,26446,85354,2040,129,3220,0,3767127,2040,3705679,85354,26446,94937,96977,2040,503,26446,106,4194,2040,6342,438,2040,43,43,266,503,83,26446,186492,86,3108,43,3220,997,2040,68,43,6440,2040,2040,88,90097,1,2040,860,2040,2040,26446,51000,2040,195955,26446,51000,1039835,2040,25760,29572,129507,997,26446,2148,86,2040,2040,26446,726,3739,4080,2040,90097,26446,94937,39893,641,47280,186492,2040,2848,43,3061,25760,5990,26446,43,60,43,3220,726,26446,9914,26446,11398,3739,43,94937,1363,9562,43,2040,90097,172,723,27420,195955,2040,164,94937,860,2040,438,43,83,3739,2040,2040,5542,19320,188532
From 1528430651 to 1528430680,140.43,9574,54,7557,54,214784,30301,30301,30301,6332,1315,2976,114229,30301,210299,6054,54,72,54,0,4108132,30301,6035,210299,1429,5,2976,2976,4787,9866,30301,52270,2976,162,4787,0,2578599,2976,4074818,52270,30301,103700,106676,2976,728,30301,147,6332,2976,8356,630,2976,54,54,392,728,84,30301,207323,108,3355,54,4787,1429,2976,96,54,9574,2976,2976,89,57314,1,2976,1315,2976,2976,30301,74400,2976,214784,30301,74400,598564,2976,38296,18519,124286,1429,30301,3108,108,2976,2976,30301,1047,5376,5952,2976,57249,30301,103700,59717,612,70544,207323,2976,3813,54,3057,38296,5917,30301,54,72,54,4787,1047,30301,11894,30301,17062,5376,54,103700,2043,13143,54,2976,57314,216,1014,31683,214784,2976,127,103700,1315,2976,630,54,84,5376,2976,2976,7557,28722,210299
From 1528430681 to 1528430711,78.43,7190,50,5615,50,146963,24107,24107,24107,4802,1062,2234,93609,24107,143346,4138,50,60,50,0,2816625,24107,4814,143346,976,5,2234,2234,3595,7513,24107,49395,2234,150,3595,0,2032285,2234,2784944,49395,24107,85852,88086,2234,495,24107,120,4802,2234,6251,432,2234,50,50,226,495,72,24107,141112,100,2514,50,3595,976,2234,62,50,7190,2234,2234,77,53198,1,2234,1062,2234,2234,24107,55850,2234,146963,24107,55850,486384,2234,28760,17330,104874,976,24107,2080,100,2234,2234,24107,678,4009,4468,2234,53158,24107,85852,45409,478,53560,141112,2234,2946,50,2431,28760,4712,24107,50,60,50,3595,678,24107,9082,24107,12974,4009,50,85852,1557,9846,50,2234,53198,200,702,25063,146963,2234,111,85852,1062,2234,432,50,72,4009,2234,2234,5615,21570,143346
From 1528430712 to 1528430741,97.8,7482,90,6012,90,200189,29846,29846,29846,5044,1218,1632,104673,29846,196652,3655,90,108,90,0,3815064,29846,6041,196652,864,5,1632,1632,3741,7183,29846,40349,1632,270,3741,0,2073055,1632,3789755,40349,29846,95915,97547,1632,441,29846,141,5044,1632,6828,396,1632,90,90,223,441,81,29846,195020,180,3127,90,3741,864,1632,52,90,7482,1632,1632,86,44980,1,1632,1218,1632,1632,29846,40800,1632,200189,29846,40800,458168,1632,29928,14595,111573,864,29846,1898,180,1632,1632,29846,645,4468,3264,1632,44938,29846,95915,47845,670,56160,195020,1632,2402,90,3035,29928,5922,29846,90,108,90,3741,645,29846,10323,29846,13670,4468,90,95915,1659,10569,90,1632,44980,360,597,30685,200189,1632,139,95915,1218,1632,396,90,81,4468,1632,1632,6012,22446,196652
From 1528430742 to 1528430771,83.5,5442,27,4483,27,123382,18265,18265,18265,3507,675,1636,72910,18265,119268,3861,27,36,27,0,2315370,18265,3956,119267,910,5,1636,1636,2721,5509,18265,47802,1636,81,2721,0,2131737,1636,2284544,47802,18265,67012,68648,1636,461,18265,78,3507,1636,4999,398,1636,27,27,241,461,53,18265,117631,54,1965,27,2721,910,1636,58,27,5442,1636,1636,58,51052,1,1636,675,1636,1636,18265,40900,1636,123382,18265,40900,559700,1636,21768,16649,86199,910,18265,1958,54,1636,1636,18265,653,3125,3272,1636,51010,18265,67012,33236,384,39448,117631,1636,2203,27,2006,21768,3907,18265,27,36,27,2721,653,18265,7338,18265,9496,3125,27,67012,1136,7720,27,1636,51052,108,663,19122,123382,1636,93,67012,675,1636,398,27,53,3125,1636,1636,4483,16326,119267
