Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528481893 to 1528481922,95.93,234,593,29197,1090692,134,216,593,91
From 1528481923 to 1528481952,78.7,212,438,14124,531851,89,152,438,51
From 1528481953 to 1528481982,96.33,272,917,20617,755650,122,206,917,83
From 1528481983 to 1528482013,101.57,268,1081,24117,885907,142,240,1081,97
From 1528482014 to 1528482043,104.8,144,1719,31113,1192554,154,254,1719,77
From 1528482044 to 1528482073,92.33,190,1248,22645,862891,126,212,1248,94
From 1528482074 to 1528482103,93.2,212,1136,27262,1034670,127,206,1136,31
From 1528482104 to 1528482133,92.17,262,1142,21369,811353,114,190,1142,49
From 1528482134 to 1528482163,102.37,374,604,27088,1021876,141,234,604,92
From 1528482164 to 1528482194,97.3,338,1076,30408,1138375,145,236,1076,51
From 1528482195 to 1528482224,80.83,212,1067,11719,437918,96,170,1067,88
From 1528482225 to 1528482254,85.63,248,702,21611,830549,112,186,702,49
From 1528482255 to 1528482284,87.97,249,534,24625,925444,110,176,534,53
From 1528482285 to 1528482314,104.6,265,992,27007,1017095,139,230,992,77
From 1528482315 to 1528482344,104.0,375,1191,29959,1104564,149,244,1191,49
From 1528482345 to 1528482374,103.67,223,1123,24479,913706,132,220,1123,78
From 1528482375 to 1528482405,96.73,270,1340,35138,1317722,151,240,1340,56
From 1528482406 to 1528482435,98.73,218,1214,22327,839487,128,216,1214,55
From 1528482436 to 1528482465,101.77,269,1184,21112,792043,125,212,1184,61
From 1528482466 to 1528482495,95.6,364,1350,14216,537309,109,192,1350,78
From 1528482496 to 1528482525,109.47,339,1063,35274,1326759,163,264,1063,63
From 1528482526 to 1528482555,99.83,184,791,29456,1112125,133,214,791,81
From 1528482556 to 1528482586,96.0,187,1089,26102,990500,119,192,1089,56
From 1528482587 to 1528482616,100.47,263,1330,21791,798463,132,224,1330,72
From 1528482617 to 1528482646,97.17,216,1234,28347,1071523,136,222,1234,49
From 1528482647 to 1528482676,100.77,328,694,24285,898739,126,208,694,57
From 1528482677 to 1528482706,79.57,134,839,24528,915932,113,182,839,46
From 1528482707 to 1528482736,87.37,218,1116,21849,804118,118,195,1116,62
From 1528482737 to 1528482767,96.9,226,1074,21496,819705,133,229,1074,82
From 1528482768 to 1528482797,102.6,340,737,25289,974394,122,200,737,58
From 1528482798 to 1528482827,98.73,204,977,21931,810801,120,200,977,74
From 1528482828 to 1528482857,100.5,234,1565,31900,1205122,141,226,1565,56
From 1528482858 to 1528482887,95.9,182,981,31672,1189731,137,218,981,53
From 1528482888 to 1528482917,73.47,250,1073,14286,542124,99,172,1073,62
From 1528482918 to 1528482948,63.7,104,817,15167,566056,72,116,817,36
From 1528482949 to 1528482978,66.17,148,349,12893,483672,70,116,349,42
From 1528482979 to 1528483008,89.83,220,1145,15255,571228,108,188,1145,61
From 1528483009 to 1528483038,95.73,190,711,29252,1096843,133,214,711,73
From 1528483039 to 1528483068,90.53,208,1083,27768,1028218,129,208,1083,84
From 1528483069 to 1528483098,78.7,216,546,13308,472270,85,144,546,56
From 1528483099 to 1528483129,60.73,118,683,14121,531592,70,114,683,22
From 1528483130 to 1528483159,59.83,102,473,8997,323833,54,90,473,41
From 1528483160 to 1528483189,66.63,112,498,16163,598846,80,130,498,41
From 1528483190 to 1528483220,66.13,198,523,13164,503496,77,130,523,41
From 1528483221 to 1528483250,67.43,132,1004,7191,273718,64,114,1004,33
From 1528483251 to 1528483280,100.5,352,1109,28415,1077332,138,228,1109,61
From 1528483281 to 1528483310,104.23,280,1123,34024,1278071,143,224,1123,49
From 1528483311 to 1528483340,85.17,240,739,22544,856144,121,202,739,58
From 1528483341 to 1528483370,79.37,130,741,18191,662525,104,174,741,58
From 1528483371 to 1528483401,80.4,251,600,16597,628654,98,166,600,51
From 1528483402 to 1528483431,96.9,199,710,29583,1120439,124,196,710,46
From 1528483432 to 1528483461,98.3,246,1347,19041,722697,122,210,1347,70
From 1528483462 to 1528483491,85.23,246,699,21932,811688,105,170,699,50
From 1528483492 to 1528483521,82.77,220,825,22137,780591,103,168,825,26
From 1528483522 to 1528483551,77.53,190,1209,16910,608827,107,182,1209,64
From 1528483552 to 1528483582,90.5,234,1388,22170,827742,117,196,1388,54
From 1528483583 to 1528483612,72.47,264,1003,15676,603298,107,184,1003,73
From 1528483613 to 1528483642,78.8,132,1027,17795,674342,100,168,1027,78
From 1528483643 to 1528483672,106.47,198,990,32429,1204856,142,226,990,58
From 1528483673 to 1528483702,91.77,173,1275,27137,1025663,122,196,1275,63
From 1528483703 to 1528483732,92.43,226,875,19760,733428,121,206,875,67
From 1528483733 to 1528483763,102.23,231,1410,28136,1056436,141,232,1410,80
From 1528483764 to 1528483793,100.67,250,900,24929,945258,134,224,900,84
From 1528483794 to 1528483823,99.77,222,1180,22331,840028,120,200,1180,60
From 1528483824 to 1528483853,100.43,256,1331,27867,1035504,136,222,1331,60
From 1528483854 to 1528483883,86.97,142,1231,22561,857831,110,180,1231,31
From 1528483884 to 1528483913,93.3,254,766,28663,1053260,124,196,766,40
From 1528483914 to 1528483944,95.77,270,1089,25740,963945,129,212,1089,59
From 1528483945 to 1528483974,97.93,280,846,22791,890600,128,216,846,90
From 1528483975 to 1528484004,97.47,194,724,26581,1026996,130,214,724,83
From 1528484005 to 1528484034,100.7,298,878,30940,1179530,137,220,878,63
From 1528484035 to 1528484064,85.13,218,1234,23079,851195,124,206,1234,75
From 1528484065 to 1528484094,70.87,240,879,11819,446759,80,138,879,48
From 1528484095 to 1528484125,88.2,192,769,22411,846904,108,176,769,56
From 1528484126 to 1528484155,101.5,268,1160,28540,1085958,137,224,1160,49
From 1528484156 to 1528484185,94.93,234,1885,25018,953135,131,218,1885,51
From 1528484186 to 1528484215,88.2,220,445,18782,704545,103,172,445,70
