Period, CPUAvg, person,encounter,concept,obs,
From 154213 To 154243,37.77,239,7,8,6,
From 154283 To 154313,60.1,474,14,20,14,
From 154313 To 154343,58.23,385,11,7,14,
From 154383 To 154413,66.8,485,16,16,16,
From 154413 To 154443,57.57,349,8,8,8,
From 154483 To 154513,96.03,814,15,30,18,
From 154514 To 154544,102.27,812,22,29,19,
From 154584 To 154614,101.1,717,19,24,22,
From 154614 To 154644,93.33,647,19,21,18,
From 154684 To 154714,99.1,786,22,19,20,
From 154714 To 154744,92.3,714,21,28,20,
From 154784 To 154814,91.53,775,25,28,16,
From 154815 To 154845,92.3,715,22,22,17,
From 154885 To 154915,86.53,709,22,18,20,
From 154915 To 154945,83.17,614,20,11,20,
From 154985 To 155015,100.5,840,19,23,31,
From 155015 To 155045,103.63,841,21,29,22,
From 155085 To 155115,86.23,634,29,19,17,
From 155116 To 155146,54.43,404,9,11,12,
From 155186 To 155216,53.23,408,10,19,12,
From 155216 To 155246,58.23,441,16,18,10,
From 155286 To 155316,58.3,398,11,7,13,
From 155316 To 155346,92.13,732,17,21,21,
From 155387 To 155417,83.3,617,24,15,14,
From 155417 To 155447,105.7,788,31,17,19,
From 155487 To 155517,98.6,798,21,19,26,
From 155517 To 155547,106.87,765,19,16,25,
From 155587 To 155617,95.83,740,25,23,18,
From 155617 To 155647,101.83,802,26,18,23,
From 155688 To 155718,72.73,522,17,14,10,
From 155718 To 155748,78.2,601,6,16,22,
From 155788 To 155818,92.8,713,18,15,26,
From 155818 To 155848,99.97,767,21,24,26,
From 155888 To 155918,102.73,686,13,17,12,
