 CPUAvg,search,buy, AController:74,AController:98,DaoImpl:69,HomeController:69,AController:91,HomeController:107,ItemDaoImpl:86,AController:110,AController:111,HomeController:53,Item:118,AController:136,AController:104,Item:253,AController:43,AService:489,HomeController:91,AController:55
113.7,3831,3937,2004,25539,61740,690,25539,690,1315,21612,21612,7590,76307,64836,25539,76307,21681,1315,690,107379
116.6,4056,4132,1967,26796,64729,649,26796,648,1318,22638,22638,7128,80401,67914,26796,80401,22592,1318,648,112571
118,3968,4000,2100,25807,63037,692,25807,691,1409,21859,21859,7601,80606,65577,25807,80606,21917,1409,691,108457
129.37,4359,4401,2329,28812,69651,796,28812,798,1531,24367,24367,8778,88065,73101,28812,88065,24339,1531,798,121081
123.83,4033,4195,2026,27029,65682,664,27029,663,1364,22845,22845,7293,82511,68535,27029,82511,22853,1364,663,113607
128.23,4378,4400,2358,28728,69480,809,28728,810,1548,24290,24290,8910,87769,72870,28728,87769,24319,1548,810,120686
125.57,4199,4219,2048,27246,66765,696,27246,696,1352,23059,23059,7656,85125,69177,27246,85125,23046,1352,696,114623
130.87,4387,4464,2313,29088,70172,776,29088,775,1537,24600,24600,8525,88393,73800,29088,88392,24604,1537,775,122253
121.27,4078,4127,2026,26684,64940,672,26684,673,1354,22583,22583,7403,81768,67749,26684,81769,22586,1354,673,112230
108.7,3771,3676,1833,23943,58630,626,23943,625,1207,20297,20297,6875,75841,60891,23943,75841,20214,1207,625,100819
109.23,3592,3718,1801,23945,57943,600,23945,601,1200,20227,20227,6611,71667,60681,23945,71667,20300,1200,601,100544
131.27,4646,4499,2238,29391,72172,737,29391,737,1502,24898,24898,8107,94123,74694,29391,94123,24907,1502,737,123738
121.6,4069,4142,2048,26994,65226,683,26994,683,1365,22817,22817,7513,81278,68451,26994,81278,22775,1365,683,113486
116.47,3945,4022,1981,25943,62644,675,25943,674,1306,21933,21933,7414,78944,65799,25943,78944,21882,1306,674,109050
125.3,4230,4190,2163,27479,67357,746,27479,747,1417,23260,23260,8217,86387,69780,27479,86387,23272,1417,747,115588
121.67,4076,4170,2120,26724,64848,713,26724,712,1408,22605,22605,7832,82480,67815,26724,82480,22653,1408,712,112266
